wid	txtid	inv_nr	cth_number	lnr	trans	text	text_tags	text_clean	subscr	matlect	num	sign	corr	deleted	added	ras	rasx	gap	note	link	mrp0sel	combined
10	HKM 48		581	obv. 4	BE-LÍ-IA		<aGr>BE-LÍ-IA</aGr>	#BE-LÍ-IA#													 1g	{'clb_id': '3', 'clb_nr': '3', 'lg': 'Hit', 'mrp1': '① BĒLU  @  Herr  @     {g → VOC.SG(UNM)_ PPRO.1SG.GEN}  @   @  (LÚ)'}
11	HKM 48		581	obv. 5	ammuk	am-mu-uk	am-mu-uk	am-mu-uk													 1a	{'clb_id': '3', 'clb_nr': '3', 'lg': 'Hit', 'mrp1': '① uk  @  ich  @     {a → PPROa.1SG.DAT/ACC}  @  32.1  @  '}
12	HKM 48		581	obv. 5	ḫapirin		<d>m</d>ḫa-pí-ri-in	~m~ḫa-pí-ri-in													1	{'clb_id': '3', 'clb_nr': '3', 'lg': 'Hit', 'mrp1': '① ḫapir=i-  @  Ḫapiri  @  PNm.ACC.SG.C  @  38.3  @  m'}
13	HKM 48		581	obv. 6	kiššan	ki-iš-ša-an	ki-iš-ša-an	ki-iš-ša-an													1	{'clb_id': '3', 'clb_nr': '3', 'lg': 'Hit', 'mrp1': '① kiššan  @  in dieser Weise  @   @  DEMadv  @  '}
14	HKM 48		581	obv. 6	watarnaḫta	wa-a-tar-na-aḫ-ta	wa-a-tar-na-aḫ-ta	wa-a-tar-na-aḫ-ta													 1a	{'clb_id': '3', 'clb_nr': '3', 'lg': 'Hit', 'mrp1': '① watarn=aḫḫ-  @  befehlen  @     {a → 2SG.PST}  @  II.9  @  '}
15	HKM 48		581	obv. 7	ketaniuazakan	ke-e-da-ni-wa-za-kán	ke-e-da-ni-wa-za-kán	ke-e-da-ni-wa-za-kán													1	{'clb_id': '4', 'clb_nr': '4', 'lg': 'Hit', 'mrp1': '⓷Ⓐ ka-  @  dieser  @  DEM1.D/L.SG  @  19       +=  wa=za=kkan  @  QUOT=REFL=OBPk  @   @  '}
16	HKM 48		581	obv. 7	KASKALši		<sGr>KASKAL</sGr>-ši	KASKAL-ši													2	{'clb_id': '4', 'clb_nr': '4', 'lg': 'Hit', 'mrp2': '① KASKAL  @  Weg  @  FNL(š).D/L.SG  @  28.1.1.5  @  '}
17	HKM 48		581	obv. 7	MUŠEN		<sGr>MUŠEN</sGr><d>ḪI.A</d>	MUŠEN~ḪI.A~													 1d	{'clb_id': '4', 'clb_nr': '4', 'lg': 'Hit', 'mrp1': '① MUŠEN  @  Vogel  @     {d → ACC.PL(UNM)}  @  29.1.1  @  '}
18	HKM 48		581	obv. 8	anta	an-da	an-da	an-da													5	{'clb_id': '4', 'clb_nr': '4', 'lg': 'Hit', 'mrp5': '① anda  @  hinein-  @   @  PREV  @  '}
19	HKM 48		581	obv. 8	tan	da-a-an	da-a-an	da-a-an													 3c	{'clb_id': '4', 'clb_nr': '4', 'lg': 'Hit', 'mrp3': '① dā-/d-  @  nehmen  @     {c → PTCP.INDCL}  @  II.2  @  '}
20	HKM 48		581	obv. 8	ep	e-ep	e-ep	e-ep													1	{'clb_id': '4', 'clb_nr': '4', 'lg': 'Hit', 'mrp1': '① ēp(p)-/ap(p)-  @  fassen  @  2SG.IMP  @  I.2.1  @  '}
21	HKM 48		581	obv. 9	nunnaškan	nu-un-na-aš-kán	nu-un-na-aš-kán	nu-un-na-aš-kán													 1S	{'clb_id': '5', 'clb_nr': '5', 'lg': 'Hit', 'mrp1': '⓷Ⓐ nu  @   @  CONNn  @        +=  nnaš=kkan  @     {S → PPRO.1PL.DAT=OBPk}  @   @  '}
22	HKM 48		581	obv. 9	MUŠEN		<sGr>MUŠEN</sGr><d>ḪI.A</d>	MUŠEN~ḪI.A~													 1d	{'clb_id': '5', 'clb_nr': '5', 'lg': 'Hit', 'mrp1': '① MUŠEN  @  Vogel  @     {d → ACC.PL(UNM)}  @  29.1.1  @  '}
23	HKM 48		581	obv. 9	anta	an-da	an-da	an-da													5	{'clb_id': '5', 'clb_nr': '5', 'lg': 'Hit', 'mrp5': '① anda  @  hinein-  @   @  PREV  @  '}
24	HKM 48		581	obv. 10	aššuli	aš-šu-li	aš-šu-li	aš-šu-li													3	{'clb_id': '5', 'clb_nr': '5', 'lg': 'Hit', 'mrp3': '① aššuli  @  in guter Absicht  @   @  ADV  @  '}
25	HKM 48		581	obv. 10	tarupper	ta-ru-up-pé-er	ta-ru-up-pé-er	ta-ru-up-pé-er													1	{'clb_id': '5', 'clb_nr': '5', 'lg': 'Hit', 'mrp1': '① tarupp=  @  verflechten  @  3PL.PST  @  I.1.2  @  '}
26	HKM 48		581	obv. 11	nunnaškan	nu-un-na-aš-kán	nu-un-na-aš-kán	nu-un-na-aš-kán													 1S	{'clb_id': '6', 'clb_nr': '6', 'lg': 'Hit', 'mrp1': '⓷Ⓐ nu  @   @  CONNn  @        +=  nnaš=kkan  @     {S → PPRO.1PL.DAT=OBPk}  @   @  '}
27	HKM 48		581	obv. 11	UR.MAḪ		<sGr>UR.MAḪ</sGr>	UR.MAḪ													 1a	{'clb_id': '6', 'clb_nr': '6', 'lg': 'Hit', 'mrp1': '① UR.MAḪ  @  Löwenmann  @     {a → NOM.SG(UNM)}  @  29.1.1  @  LÚ'}
28	HKM 48		581	obv. 11	paršanaš	pár-ša-na-aš	pár-ša-na-aš	pár-ša-na-aš													 1a	{'clb_id': '6', 'clb_nr': '6', 'lg': 'Hit', 'mrp1': '① paršan=a-  @  Leopard  @     {a → NOM.SG.C}  @  1.1  @  '}
29	HKM 48		581	obv. 12	šarmiaš	šar-mi-ia-aš	šar-mi-ia-aš	šar-mi-ia-aš													 1a	{'clb_id': '6', 'clb_nr': '6', 'lg': 'Hit', 'mrp1': '① šarm=iya-  @  (wildes Tier)  @     {a → NOM.SG.C}  @  1.1.2  @  '}
30	HKM 48		581	obv. 12	kuralašša	ku-ú-	ku-ú-<del_in/>r<del_fin/>a-la-aš-ša	ku-ú-[r]a-la-aš-ša													 1e	{'clb_id': '6', 'clb_nr': '6', 'lg': 'Hit', 'mrp1': '⓶ⓑⒸ kural=a-  @  (Tier)  @     {e → NOM.SG.C.}  @  1.4  @        +=  ya  @  CNJadd  @  '}
31	HKM 48		581	obv. 13	anta	an-da	an-da	an-da													5	{'clb_id': '6', 'clb_nr': '6', 'lg': 'Hit', 'mrp5': '① anda  @  hinein-  @   @  PREV  @  '}
32	HKM 48		581	obv. 13	Ú-UL		<aGr>Ú-UL</aGr>	#Ú-UL#													1	{'clb_id': '6', 'clb_nr': '6', 'lg': 'Hit', 'mrp1': '① UL  @  nicht  @  NEG  @   @  '}
33	HKM 48		581	obv. 13	appanteš	ap-pa-an-te-eš	ap-pa-an-te-eš	ap-pa-an-te-eš													 3a	{'clb_id': '6', 'clb_nr': '6', 'lg': 'Hit', 'mrp3': '① ēp(p)-/ap(p)-  @  fassen  @     {a → PTCP.NOM.PL.C}  @  I.2.1  @  '}
34	HKM 48		581	obv. 14	nunnašzakan	nu-un-na-aš-za-kán	nu-un-na-aš-za-kán	nu-un-na-aš-za-kán													1	{'clb_id': '7', 'clb_nr': '7', 'lg': 'Hit', 'mrp1': '① nu=nnaš=za=kan  @   @  CONNn=PPRO.1PL.DAT=REFL=OBPk  @   @  '}
35	HKM 48		581	obv. 14	UTU-ŠI		<d>D</d><sGr>UTU</sGr><aGr>-ŠI</aGr>	~D~UTU-#ŠI#													 1k	{'clb_id': '7', 'clb_nr': '7', 'lg': 'Hit', 'mrp1': '① UTU-ŠI  @  ‚meine Sonne‘  @     {k → VOC.SG(UNM)_PPRO.1SG.GEN}  @   @  D'}
36	HKM 48		581	obv. 14	kuit	ku-it	ku-it	ku-it													3	{'clb_id': '7', 'clb_nr': '7', 'lg': 'Hit', 'mrp3': '① kuit  @  weil  @   @  CNJ  @  '}
37	HKM 48		581	obv. 15	BE-LÍ-NI		<aGr>BE-LÍ-NI</aGr>	#BE-LÍ-NI#													 1g	{'clb_id': '7', 'clb_nr': '7', 'lg': 'Hit', 'mrp1': '① BĒLU  @  Herr  @     {g → VOC.SG(UNM)_ PPRO.1PL.GEN}  @   @  (LÚ)'}
38	HKM 48		581	obv. 15	tiualiaza		<d>URU</d>ti-wa-li-ia-za	~URU~ti-wa-li-ia-za													1	{'clb_id': '7', 'clb_nr': '7', 'lg': 'Hit', 'mrp1': '① tiuali=a-  @  Tiwaliya  @  GN.ABL  @  39.2  @  URU'}
39	HKM 48		581	obv. 16	palḫišnaza		<d>URU</d>pal-ḫi-iš-na-za	~URU~pal-ḫi-iš-na-za													1	{'clb_id': '7', 'clb_nr': '7', 'lg': 'Hit', 'mrp1': '① palḫišn=a-  @  Palḫišna  @  GN.ABL  @  39.2  @  URU'}
40	HKM 48		581	obv. 16	arḫaian	ar-ḫa-	ar-ḫa-<del_in/>ia<del_fin/>-an	ar-ḫa-[ia]-an													1	{'clb_id': '7', 'clb_nr': '7', 'lg': 'Hit', 'mrp1': '① arḫayan  @  abseits  @   @  ADV  @  '}
41	HKM 48		581	obv. 17	Ú-UL		"<aGr><laes_in/>Ú-UL</aGr><corr c=""(?)""/><laes_fin/>"	#⸢Ú-UL#⸣					"UL~<corr c=""(?)""/>"								1	{'clb_id': '7', 'clb_nr': '7', 'lg': 'Hit', 'mrp1': '① UL  @  nicht  @  NEG  @   @  '}
42	HKM 48		581	obv. 17	teš	te-e-eš	"te-e-eš<note n=""1"" c="" <P_f_Footnote>Thus <SP_f_AO_3a_-LIT>Hoffner H.A. 1997c</SP_f_AO_3a_-LIT>, 7; who later however suggested: <SP_f_AO_3a_Hittite>z<del_in/>i</SP_f_AO_3a_Hittite><SP_f_AO_3a_--superscr>!</SP_f_AO_3a_--superscr><SP_f_AO_3a_Hittite>-i<del_fin/>k-ke</SP_f_AO_3a_Hittite><SP_f_AO_3a_--superscr>!</SP_f_AO_3a_--superscr><SP_f_AO_3a_Hittite>-e-eš</SP_f_AO_3a_Hittite> (<SP_f_AO_3a_-LIT>Hoffner H.A. 2009a</SP_f_AO_3a_-LIT>, 183).</P_f_Footnote>""/>"	te-e-eš											"<note n=""1"" c="" <P_f_Footnote>Thus <SP_f_AO_3a_-LIT>Hoffner H.A. 1997c</SP_f_AO_3a_-LIT>, 7; who later however suggested: <SP_f_AO_3a_Hittite>z[i</SP_f_AO_3a_Hittite><SP_f_AO_3a_--superscr>!</SP_f_AO_3a_--superscr><SP_f_AO_3a_Hittite>-i]k-ke</SP_f_AO_3a_Hittite><SP_f_AO_3a_--superscr>!</SP_f_AO_3a_--superscr><SP_f_AO_3a_Hittite>-e-eš</SP_f_AO_3a_Hittite> (<SP_f_AO_3a_-LIT>Hoffner H.A. 2009a</SP_f_AO_3a_-LIT>, 183).</P_f_Footnote>""/>"		1	{'clb_id': '7', 'clb_nr': '7', 'lg': 'Hit', 'mrp1': '① te-/tar-  @  sprechen  @  2SG.PST  @  I.14  @  '}
43	HKM 48		581	lo. e. 18	nukan	nu-kán	nu-kán	nu-kán													1	{'clb_id': '8', 'clb_nr': '8', 'lg': 'Hit', 'mrp1': '① nu=kan  @   @  CONNn=OBPk  @   @  '}
44	HKM 48		581	lo. e. 18	ke	ke-e	ke-e	ke-e													 1f	{'clb_id': '8', 'clb_nr': '8', 'lg': 'Hit', 'mrp1': '① ka-  @  dieser  @     {f → DEM1.ACC.PL.C}  @  19  @  '}
45	HKM 48		581	lo. e. 18	MUŠEN		<sGr>MUŠEN</sGr><d>ḪI.A</d>	MUŠEN~ḪI.A~													 1d	{'clb_id': '8', 'clb_nr': '8', 'lg': 'Hit', 'mrp1': '① MUŠEN  @  Vogel  @     {d → ACC.PL(UNM)}  @  29.1.1  @  '}
46	HKM 48		581	lo. e. 19	kuetani	ku-e-da-ni	ku-e-da-ni	ku-e-da-ni													1	{'clb_id': '8', 'clb_nr': '8', 'lg': 'Hit', 'mrp1': '① kui-  @  welcher  @  REL.D/L.SG  @  22  @  '}
47	HKM 48		581	lo. e. 19	KASKALši		<sGr>KASKAL</sGr>-ši	KASKAL-ši													2	{'clb_id': '8', 'clb_nr': '8', 'lg': 'Hit', 'mrp2': '① KASKAL  @  Weg  @  FNL(š).D/L.SG  @  28.1.1.5  @  '}
48	HKM 48		581	lo. e. 19	anta	an-da	an-da	an-da													5	{'clb_id': '8', 'clb_nr': '8', 'lg': 'Hit', 'mrp5': '① anda  @  hinein-  @   @  PREV  @  '}
49	HKM 48		581	lo. e. 20	šanḫueni	ša-an-ḫu-e-ni	ša-an-ḫu-e-ni	ša-an-ḫu-e-ni													1	{'clb_id': '8', 'clb_nr': '8', 'lg': 'Hit', 'mrp1': 'šanḫ-  @  suchen  @  1PL.PRS  @  I.1.8  @  '}
50	HKM 48		581	lo. e. 21	nunnašan	nu-un-na-ša-an	nu-un-na-ša-an	nu-un-na-ša-an													1	{'clb_id': '9', 'clb_nr': '9', 'lg': 'Hit', 'mrp1': '① nu=nnaš=an  @   @  CONNn=PPRO.1PL.DAT=OBPn  @   @  '}
51	HKM 48		581	lo. e. 21	UTU-ŠI		<d>D</d><sGr>UTU</sGr><aGr>-ŠI</aGr>	~D~UTU-#ŠI#													 1k	{'clb_id': '9', 'clb_nr': '9', 'lg': 'Hit', 'mrp1': '① UTU-ŠI  @  ‚meine Sonne‘  @     {k → VOC.SG(UNM)_PPRO.1SG.GEN}  @   @  D'}
52	HKM 48		581	rev. 22	BE-LÍ-NI		<aGr>BE-LÍ-NI</aGr>	#BE-LÍ-NI#													 1g	{'clb_id': '9', 'clb_nr': '9', 'lg': 'Hit', 'mrp1': '① BĒLU  @  Herr  @     {g → VOC.SG(UNM)_ PPRO.1PL.GEN}  @   @  (LÚ)'}
53	HKM 48		581	rev. 22	EGIRpa		<sGr>EGIR</sGr>-pa	EGIR-pa													 1c	{'clb_id': '9', 'clb_nr': '9', 'lg': 'Hit', 'mrp1': '① EGIR-pa  @  wieder  @     {c → PREV}  @   @  '}
54	HKM 48		581	rev. 22	ḫutak	ḫu-u-da-a-a	ḫu-u-da-a-a<del_in/>k<del_fin/>	ḫu-u-da-a-a[k]													1	{'clb_id': '9', 'clb_nr': '9', 'lg': 'Hit', 'mrp1': '① ḫudak  @  eilends  @   @  ADV  @  '}
55	HKM 48		581	rev. 23	ḫatrai	ḫa-at-ra-a-	ḫa-at-ra-a-<laes_in/>i<laes_fin/>	ḫa-at-ra-a-⸢i⸣													2	{'clb_id': '9', 'clb_nr': '9', 'lg': 'Hit', 'mrp2': '① ḫatr=ā(e)-  @  mitteilen  @  2SG.IMP  @  I.9  @  '}
56	HKM 48		581	rev. 24	kuralan	ku-ú-ra-l	ku-ú-ra-l<del_in/>a-an	ku-ú-ra-l[a-an													 1a	{'clb_id': '10', 'clb_nr': '10', 'lg': 'Hit', 'mrp1': '① kural=a-  @  (Tier)  @     {a → ACC.SG.C}  @  1.4  @  '}
57	HKM 48		581	rev. 24	mân	ma-a-an	ma-a-an	ma-a-an													1	{'clb_id': '10', 'clb_nr': '10', 'lg': 'Hit', 'mrp1': '① mân  @  wenn  @   @  CNJ  @  '}
58	HKM 48		581	rev. 24	Ú-UL		"<aGr>Ú-U<del_fin/>L</aGr><note n=""2"" c="" <P_f_Footnote>Restoration <SP_f_AO_3a_-LIT>Alp S. 1991b, 208</SP_f_AO_3a_-LIT>, followed by <SP_f_AO_3a_-LIT>Hoffner H.A. 2009a</SP_f_AO_3a_-LIT>, 183.</P_f_Footnote>""/>"	#Ú-U]L#											"<note n=""2"" c="" <P_f_Footnote>Restoration <SP_f_AO_3a_-LIT>Alp S. 1991b, 208</SP_f_AO_3a_-LIT>, followed by <SP_f_AO_3a_-LIT>Hoffner H.A. 2009a</SP_f_AO_3a_-LIT>, 183.</P_f_Footnote>""/>"		1	{'clb_id': '10', 'clb_nr': '10', 'lg': 'Hit', 'mrp1': '① UL  @  nicht  @  NEG  @   @  '}
59	HKM 48		581	rev. 25	šekkunia	še-ek-ku-ni-	"še-ek-ku-ni-<del_in/>ia<corr c=""?""/>"	še-ek-ku-ni-[ia					"[ia<corr c=""?""/>"								 1a	{'clb_id': '10', 'clb_nr': '10', 'lg': 'Hit', 'mrp1': '① šekkun=i-  @  (Geländeart)  @     {a → D/L.SG}  @  2.1.1  @  '}
60	HKM 48		581	rev. 25	anta	an-da	an-da	an-da													5	{'clb_id': '10', 'clb_nr': '10', 'lg': 'Hit', 'mrp5': '① anda  @  hinein-  @   @  PREV  @  '}
61	HKM 48		581	rev. 25	šanḫueni	ša-a	"ša-a<del_fin/>n-ḫu-e-ni<note n=""3"" c="" <P_f_Footnote>Cfr. l. 20, 26.</P_f_Footnote>""/>"	ša-a]n-ḫu-e-ni											"<note n=""3"" c="" <P_f_Footnote>Cfr. l. 20, 26.</P_f_Footnote>""/>"		1	{'clb_id': '10', 'clb_nr': '10', 'lg': 'Hit', 'mrp1': 'šanḫ-  @  suchen  @  1PL.PRS  @  I.1.8  @  '}
62	HKM 48		581	rev. 26		na-an	na-an	na-an													1	{'clb_id': '11', 'clb_nr': '11', 'lg': 'Hit', 'mrp1': '① n=an  @   @  CONNn=PPRO.3SG.C.ACC  @   @  '}
63	HKM 48		581	rev. 26	TIRni		"<d>GIŠ</d><sGr>T<del_in/>IR</sGr>-ni<corr c=""?""/>"	~GIŠ~T[IR-ni					"ni<corr c=""?""/>"								1	{'clb_id': '11', 'clb_nr': '11', 'lg': 'Hit', 'mrp1': '① TIR  @  Wald  @  FNL(n).D/L.SG  @  28.14.3  @  GIŠ'}
64	HKM 48		581	rev. 26	anta	an-da	an-da	an-da													5	{'clb_id': '11', 'clb_nr': '11', 'lg': 'Hit', 'mrp5': '① anda  @  hinein-  @   @  PREV  @  '}
65	HKM 48		581	rev. 26	šanḫueni	ša-a	ša-a<del_fin/>n-ḫu-e-ni	ša-a]n-ḫu-e-ni													1	{'clb_id': '11', 'clb_nr': '11', 'lg': 'Hit', 'mrp1': 'šanḫ-  @  suchen  @  1PL.PRS  @  I.1.8  @  '}
66	HKM 48		581	rev. 27	nunnašan	nu-un-na-	nu-un-na-<del_in/>ša-an	nu-un-na-[ša-an													1	{'clb_id': '12', 'clb_nr': '12', 'lg': 'Hit', 'mrp1': '① nu=nnaš=an  @   @  CONNn=PPRO.1PL.DAT=OBPn  @   @  '}
67	HKM 48		581	rev. 27	ḫutak	ḫu-u-da-a-ak	ḫu-u-da-a-ak	ḫu-u-da-a-ak													1	{'clb_id': '12', 'clb_nr': '12', 'lg': 'Hit', 'mrp1': '① ḫudak  @  eilends  @   @  ADV  @  '}
68	HKM 48		581	rev. 27	ḫatrai	ḫa-at-ra	"ḫa-at-ra<del_fin/>-a-i<note n=""4"" c="" <P_f_Footnote>Plausible on the basis of l. 21-23.</P_f_Footnote>""/>"	ḫa-at-ra]-a-i											"<note n=""4"" c="" <P_f_Footnote>Plausible on the basis of l. 21-23.</P_f_Footnote>""/>"		2	{'clb_id': '12', 'clb_nr': '12', 'lg': 'Hit', 'mrp2': '① ḫatr=ā(e)-  @  mitteilen  @  2SG.IMP  @  I.9  @  '}
69	HKM 48		581	rev. 28	palḫišnaza		"<d>URU</d>pal-<del_in/>ḫi-iš-na-za<corr c=""?""/>"	~URU~pal-[ḫi-iš-na-za					"za<corr c=""?""/>"								1	{'clb_id': '13', 'clb_nr': '13', 'lg': 'Hit', 'mrp1': '① palḫišn=a-  @  Palḫišna  @  GN.ABL  @  39.2  @  URU'}
70	HKM 48		581	rev. 28	appan	a-ap	"a-ap<corr c=""(?)""/><del_fin/>-pa-an<note n=""5"" c="" <P_f_Footnote><SP_f_AO_3a_-LIT>Hoffner H.A. 2009a</SP_f_AO_3a_-LIT>, 183.</P_f_Footnote>""/>"	a-ap]-pa-an					"ap<corr c=""(?)""/>"						"<note n=""5"" c="" <P_f_Footnote><SP_f_AO_3a_-LIT>Hoffner H.A. 2009a</SP_f_AO_3a_-LIT>, 183.</P_f_Footnote>""/>"		3	{'clb_id': '13', 'clb_nr': '13', 'lg': 'Hit', 'mrp3': '① appan  @  nach  @   @  POSP  @  '}
71	HKM 48		581	rev. 29	tapaššiš	ta-pa-aš-	"ta-pa-aš-<del_in/>ši-iš<corr c=""(?)""/>"	ta-pa-aš-[ši-iš					"iš<corr c=""(?)""/>"								1	{'clb_id': '13', 'clb_nr': '13', 'lg': 'Hit', 'mrp1': '① tapašš=a-  @  Fieber(?)  @  LUW||HITT.NOM.SG.C  @  30.1.1  @  '}
72	HKM 48		581	rev. 29			"<space c=""13""/>"	*************														{'clb_id': '13', 'clb_nr': '13', 'lg': 'Hit'}
73	HKM 48		581	rev. 29	~zi	-z	"-z<del_fin/>i<corr c=""?""/>"	-z]i					"z]i<corr c=""?""/>"								DEL	{'clb_id': '13', 'clb_nr': '13', 'lg': 'Hit'}
74	HKM 48		581	rev. 30	nu	nu	nu	nu													1	{'clb_id': '14', 'clb_nr': '14', 'lg': 'Hit', 'mrp1': '① nu  @   @  CONNn  @   @  '}
75	HKM 48		581	rev. 30	akkiškattari	ak-k	"ak-k<del_in/>i-iš-kat-ta-ri<corr c=""(?)""/><del_fin/><note n=""6"" c="" <P_f_Footnote><SP_f_AO_3a_-LIT>Hoffner H.A. 1997c,</SP_f_AO_3a_-LIT> 15-16 with parallels; <SP_f_AO_3a_-LIT>Hoffner H.A. 2009a</SP_f_AO_3a_-LIT>, 183.</P_f_Footnote>""/>"	ak-k[i-iš-kat-ta-ri]					"ri<corr c=""(?)""/>"						"<note n=""6"" c="" <P_f_Footnote><SP_f_AO_3a_-LIT>Hoffner H.A. 1997c,</SP_f_AO_3a_-LIT> 15-16 with parallels; <SP_f_AO_3a_-LIT>Hoffner H.A. 2009a</SP_f_AO_3a_-LIT>, 183.</P_f_Footnote>""/>"		 1b	{'clb_id': '14', 'clb_nr': '14', 'lg': 'Hit', 'mrp1': '① akkišk=e/a-  @  sterben  @     {b → 3SG.PRS.MP.IMPF}  @  III.8.2  @  '}
76	HKM 48		581	rev. 31	A-NA DUMUma		<aGr>A-NA</aGr> <sGr>DUMU</sGr>-ma	#A-NA# DUMU-ma													 2a	{'clb_id': '15', 'clb_nr': '15', 'lg': 'Hit', 'mrp2': '②Ⓐ DUMU  @  Kind  @     {a → …:D/L.SG}  @  28.1.1.2       +=  ma  @  CNJctr  @   @  '}
77	HKM 48		581	rev. 31			<del_in/>	[														{'clb_id': '15', 'clb_nr': '15', 'lg': 'Hit'}
78	HKM 48		581	rev. 31			"<space c=""13""/>"	*************														{'clb_id': '15', 'clb_nr': '15', 'lg': 'Hit'}
79	HKM 48		581	rev. 31			<del_fin/>x	]x													DEL	{'clb_id': '15', 'clb_nr': '15', 'lg': 'Hit'}
80	HKM 48		581	rev. 32	laḫlaḫḫimaš	la-aḫ-la-aḫ-ḫi-	la-aḫ-la-aḫ-ḫi-<del_in/>ma-aš	la-aḫ-la-aḫ-ḫi-[ma-aš													 1b	{'clb_id': '16', 'clb_nr': '16', 'lg': 'Hit', 'mrp1': '① laḫlaḫḫim=a  @  Erregung  @     {b → GEN.SG}  @  1.1  @  '}
