wid	txtid	inv_nr	cth_number	lnr	trans	text	text_tags	text_clean	subscr	matlect	num	sign	corr	deleted	added	ras	rasx	gap	note	link	mrp0sel	combined
0	HKM 48		581	obv. 1	A-NA UTU-ŠI		<aGr>A-NA</aGr> <d>D</d><sGr>UTU</sGr><aGr>-ŠI</aGr>	#A-NA# ~D~UTU-#ŠI#													 1a	{'clb_id': '1', 'clb_nr': '1', 'lg': 'Hit', 'mrp1': '① UTU-ŠI  @  ‚meine Sonne‘  @     {a → …:D/L.SG}  @   @  D'}
1	HKM 48		581	obv. 1	BE-LÍ-NI		<aGr>BE-LÍ-NI</aGr>	#BE-LÍ-NI#													 1d	{'clb_id': '1', 'clb_nr': '1', 'lg': 'Hit', 'mrp1': '① BĒLU  @  Herr  @     {d → D/L.SG(UNM)_PPRO.1PL.GEN}  @   @  (LÚ)'}
2	HKM 48		581	obv. 2	QÍ-BÍ-MA		<aGr>QÍ-BÍ-MA</aGr>	#QÍ-BÍ-MA#													1	{'clb_id': '1', 'clb_nr': '1', 'lg': 'Hit', 'mrp1': '① QABÛ  @  sagen  @  2SG.IMP_CNJ  @   @  '}
3	HKM 48		581	obv. 2	UM-MA		<aGr>UM-MA</aGr>	#UM-MA#													1	{'clb_id': '2', 'clb_nr': '2', 'lg': 'Hit', 'mrp1': '① UMMA  @  folgendermaßen  @  ADV  @   @  '}
4	HKM 48		581	obv. 2	maria		<d>m</d>ma-ri-i-ia	~m~ma-ri-i-ia													 13a	{'clb_id': '2', 'clb_nr': '2', 'lg': 'Hit', 'mrp13': '① mariy=a-  @  Mariya  @     {a → PNm.NOM.SG(UNM)}  @  38.2  @  m'}
5	HKM 48		581	obv. 3	Ù		<aGr>Ù</aGr>	#Ù#													1	{'clb_id': '2', 'clb_nr': '2', 'lg': 'Hit', 'mrp1': '① U  @  und  @  CNJadd  @   @  '}
6	HKM 48		581	obv. 3	ḫapiri		<d>m</d>ḫa-pí-ri	~m~ḫa-pí-ri													 1a	{'clb_id': '2', 'clb_nr': '2', 'lg': 'Hit', 'mrp1': '① ḫapir=i-  @  Ḫapiri  @     {a → PNm.NOM.SG(UNM)}  @  38.3  @  m'}
7	HKM 48		581	obv. 3	ARAD-KA-MA		<sGr>ARAD</sGr><d>MEŠ</d><aGr>-KA-MA</aGr>	ARAD~MEŠ~-#KA-MA#													 1c	{'clb_id': '2', 'clb_nr': '2', 'lg': 'Hit', 'mrp1': '① ARAD-KA-MA  @  Diener  @     {c → NOM.PL(UNM)_PPRO.2SG.GEN_QUOT}  @   @  '}
8	HKM 48		581	obv. 4	UTU-ŠImu		<d>D</d><sGr>UTU</sGr><aGr>-ŠI</aGr>-<del_in/>m<del_fin/>u	~D~UTU-#ŠI#-[m]u													 1kR	{'clb_id': '3', 'clb_nr': '3', 'lg': 'Hit', 'mrp1': '⓷Ⓐ UTU-ŠI  @  ‚meine Sonne‘  @     {k → VOC.SG(UNM)_PPRO.1SG.GEN}  @        +=  mu  @     {R → PPRO.1SG.ACC}  @   @  D'}
9	HKM 48		581	obv. 4	kuit	ku-it	ku-it	ku-it													3	{'clb_id': '3', 'clb_nr': '3', 'lg': 'Hit', 'mrp3': '① kuit  @  weil  @   @  CNJ  @  '}
